actual Price,pred Price
23.6,29.218660139899285
32.4,33.55146719559807
13.6,14.810657992190952
22.8,25.08472545778361
16.1,19.173927021454425
20.0,23.286403994935547
17.8,17.744122496463863
14.0,14.460921226971706
19.6,23.302591071627084
16.8,20.756479917069456
21.5,22.45317074405949
18.9,18.77736488021157
7.0,-6.529709346188948
21.2,21.74968492500409
18.5,19.301958693274663
29.8,26.595220809280217
18.8,21.21754878164618
10.2,5.842563450902137
50.0,40.881271452587384
14.1,17.98690048212947
25.2,27.431772991820587
29.1,30.298717532534873
12.7,11.207593733320557
22.4,24.396915427110216
14.2,18.240072543864713
13.8,16.010876184780678
20.3,22.796836081296966
14.9,14.739583498561327
21.7,19.75576271983983
18.3,19.292986690165968
23.1,22.520173257143533
23.8,25.379839827284577
15.0,26.365056511080386
20.8,18.23697690480197
19.1,16.934190238969087
19.4,17.55836755543347
34.7,31.50335901544139
19.5,20.241595759941692
24.4,21.08251444470804
23.4,24.65267563532608
19.7,13.90452083154858
28.2,32.57892684510329
50.0,43.16818646446918
17.4,17.128961132582113
22.6,27.367060259752765
15.1,17.358540917327428
13.1,14.010996314893251
24.2,25.952295844344803
19.9,20.56538297784861
24.0,30.179008703693736
18.9,21.497711191350856
35.4,34.68242962570499
15.2,16.023344008334455
26.5,26.335337509954407
43.5,40.12023825363464
21.2,22.900832152584503
18.4,19.30066017812058
28.5,32.99670513471332
23.9,25.11269666508062
18.5,12.73224636683563
25.0,22.79239331554259
35.4,30.711759583800543
31.5,31.814871720900783
20.2,15.828260364214376
24.1,20.05819835722936
20.0,13.909102924848622
13.1,20.920572343133454
24.8,26.018022506521906
30.8,30.804720896022726
12.7,11.73369774525105
20.0,20.5084227569361
23.7,27.850985941136084
10.8,11.201112409792328
20.6,15.49838312088278
20.8,23.817491863233627
5.0,6.142938715610267
20.1,21.628369044651254
48.5,41.88626638055334
10.9,19.042884512954593
7.0,8.717542512844936
20.9,20.71491050190681
17.2,13.321767621578864
20.9,20.658185672445228
9.7,9.526386341544228
19.4,23.449624789395173
29.0,29.40116943718098
16.4,19.465669314952923
25.0,25.67438033575405
25.0,29.40908718682512
17.1,20.440202887232942
23.2,25.70799403082802
10.4,5.5919984206068705
19.6,20.41059108446685
17.2,14.700934625386907
27.5,12.9062224072423
23.0,21.060078228638687
50.0,25.173683869365824
17.9,-0.5204526837966874
9.6,13.857699456693702
17.2,16.195181726359827
22.5,22.24816901385107
21.4,24.52416596966926
